combination,n_features,train_pr_auc,val_pr_auc,test_pr_auc,train_roc_auc,val_roc_auc,test_roc_auc,train_val_gap
metadata+text,453,0.6994,0.5402,0.5093,0.7837,0.668,0.6609,0.1592
diff+metadata+text,1221,0.7227,0.5374,0.5309,0.8027,0.6687,0.6744,0.1853
diff+metadata,837,0.6944,0.5263,0.5221,0.7799,0.6568,0.6704,0.1681
metadata,69,0.6591,0.5247,0.489,0.7503,0.6516,0.6409,0.1344
diff+text,1152,0.6632,0.4556,0.4916,0.767,0.6177,0.6545,0.2076
text,384,0.6147,0.4268,0.4417,0.7254,0.5944,0.5979,0.1879
diff,768,0.5952,0.415,0.4718,0.7188,0.5906,0.6435,0.1802
